category,name,broad,price,feature,discount,link,new
儿童椅,书桌椅,英格弗,¥ 399.00,,False,http://www.ikea.com/cn/zh/catalog/products/50253537/,False
工具和安装件,激光水平仪,费克沙,¥ 99.00,大,False,http://www.ikea.com/cn/zh/catalog/products/20188483/,False
工具和安装件,螺丝,费克沙,¥ 4.90,大,False,http://www.ikea.com/cn/zh/catalog/products/20188483/,False
工具和安装件,电动螺丝刀,费克沙,¥ 79.00,带锂离子电池,True,http://www.ikea.com/cn/zh/catalog/products/20188483/,False
厨房岛和推车,手推车,拉斯克,¥ 249.00,,False,http://www.ikea.com/cn/zh/catalog/products/60334067/,False
厨房岛和推车,手推车,拉斯克,¥ 249.00,,False,http://www.ikea.com/cn/zh/catalog/products/60334067/,False
厨房岛和推车,手推车,拉斯克,¥ 249.00,,False,http://www.ikea.com/cn/zh/catalog/products/60334067/,False
厨房橱柜和前板,"底柜,带抽屉/门",METOD 米多,¥ 680.00,,False,http://www.ikea.com/cn/zh/catalog/products/S09216581/,False
厨房橱柜和前板,底柜/拉出式内置件,METOD 米多,¥ 530.00,,False,http://www.ikea.com/cn/zh/catalog/products/S09216581/,False
墙面储藏件,壁柜,拉斯克,¥ 399.00,,False,http://www.ikea.com/cn/zh/catalog/products/70281619/,False
墙面储藏件,墙搁板,斯坦托,¥ 399.00,,False,http://www.ikea.com/cn/zh/catalog/products/70281619/,False
米多操作台面,操作台面,萨林,¥ 449.00,,False,http://www.ikea.com/cn/zh/catalog/products/40280659/,False
米多操作台面,操作台面,萨林,¥ 449.00,,False,http://www.ikea.com/cn/zh/catalog/products/40280659/,False
米多操作台面,台面拼缝条,费克沙,¥ 30.00,,False,http://www.ikea.com/cn/zh/catalog/products/40280659/,False
床罩,床罩,英迪拉,¥ 149.00,,False,http://www.ikea.com/cn/zh/catalog/products/30328100/,False
床罩,床罩,英迪拉,¥ 149.00,,False,http://www.ikea.com/cn/zh/catalog/products/30328100/,False
床罩,床罩,英迪拉,¥ 149.00,,False,http://www.ikea.com/cn/zh/catalog/products/30328100/,False
床罩,床罩,英迪拉,¥ 149.00,,False,http://www.ikea.com/cn/zh/catalog/products/30328100/,False
